start_station_id,start_station_name,start_lat,start_lng
3523.06,29 St & 5 Ave,40.656986,-73.998194
6194.06,29 St & Skillman Ave,40.744831,-73.938411
3850.03,3 Ave & 14 St,40.6685455,-73.99333264
3779.02,3 Ave & 17 St,40.666168,-73.995549
4143.04,3 Ave & Carroll St,40.677027,-73.9865
7414.17,3 Ave & E 100 St,40.7877214,-73.94728331
7504.19,3 Ave & E 109 St,40.79338,-73.94329
7543.15,3 Ave & E 112 St,40.795508,-73.941606
7974.01,3 Ave & E 163 St,40.823872,-73.908699
8103.05,3 Ave & E 169 St,40.832678,-73.905158
8137.06,3 Ave & E 170 St,40.834857,-73.903743
8205.05,3 Ave & E 172 St,40.839586,-73.900277
8241.07,3 Ave & E 174 St,40.84224,-73.8985
8526.03,3 Ave & E 189 St,40.85985,-73.89135
6830.04,3 Ave & E 62 St,40.76313,-73.96527
6960.12,3 Ave & E 71 St,40.76879,-73.9614
7028.04,3 Ave & E 72 St,40.7699426,-73.96060712
7154.10,3 Ave & E 82 St,40.775744,-73.9563752
8315.03,3 Ave & E Tremont Ave,40.84649,-73.89616
8012.04,3 Ave & Franklin Ave,40.82696,-73.907451
4437.01,3 Ave & Schermerhorn St,40.68683208,-73.9796772
2883.03,3 Ave & Wakeman Pl,40.638246,-74.024714
4028.03,3 St & 3 Ave,40.6750705,-73.98775226
3905.15,3 St & 7 Ave,40.6703837,-73.97839676
4110.10,3 St & Hoyt St,40.6777287,-73.99364123
3865.05,3 St & Prospect Park West,40.668132,-73.97363831
7034.09,30 Ave & 12 St,40.77171710520828,-73.93159255385399
6996.01,30 Ave & 21 St,40.7703743,-73.9286078
6812.06,30 Ave & 41 St,40.763422,-73.914142
6774.13,30 Ave & 47 St,40.761294,-73.909562
6727.02,30 Ave & 70 St,40.76013,-73.89741
6787.02,30 Ave & 80 St,40.76109,-73.88838
6772.11,30 Ave & 96 St,40.76086,-73.87308
3564.04,30 St & 4 Ave,40.657743,-74.001141
6076.02,30 St & 48 Ave,40.7413272,-73.937999
6763.08,31 Ave & 103 St,40.76134,-73.86666
6966.04,31 Ave & 14 St,40.7682,-73.9322662
6857.09,31 Ave & 30 St,40.7647,-73.9240312
6819.15,31 Ave & 34 St,40.763154,-73.920827
6621.06,31 Ave & 57 St,40.757357,-73.904726
6654.05,31 Ave & 61 St,40.757525,-73.901614
6709.01,31 Ave & 84 St,40.75947,-73.88431
6709.05,31 Ave & 86 St,40.75958,-73.88219
6893.10,31 Ave & Crescent St,40.7658346,-73.9265474
6782.01,31 Ave & Steinway St,40.7611488,-73.9170071
6033.01,31 Pl & Hunters Point Ave,40.74021356884924,-73.93537044525146
7202.07,31 St & 21 Ave,40.77813,-73.90842
6989.07,31 St & Astoria Blvd,40.7699176,-73.9184057
6789.20,31 St & Broadway,40.76211,-73.92523
7144.02,31 St & Ditmars Blvd,40.776168,-73.910485
7018.01,31 St & Hoyt Ave N,40.7711528,-73.9170074
6923.20,31 St & Newtown Ave,40.7675487799971,-73.9209334552288
6495.17,31 St & Northern Blvd,40.75186951421875,-73.93349289894103
6227.02,31 St & Thomson Ave,40.74469738,-73.93540375
6645.06,32 Ave & 75 St,40.75704,-73.8924
6603.06,32 Ave & 77 St,40.75727,-73.89024
6677.03,32 Ave & 81 St,40.75763,-73.88682
6636.04,32 Ave & 84 St,40.75793,-73.88401
6185.04,33 St & 47 Ave,40.74283,-73.9321
6185.07,33 St & Queens Blvd,40.7443653191867,-73.93172398209572
6609.03,34 Ave & 108 St,40.75614,-73.86084
6642.08,34 Ave & 113 St,40.75696,-73.85612
6836.07,34 Ave & 13 St,40.7638753,-73.9364848
6798.01,34 Ave & 21 St,40.7628138,-73.9342862
6720.07,34 Ave & 31 St,40.759604471387945,-73.92714411020279
6638.08,34 Ave & 38 St,40.75717,-73.92175
6596.10,34 Ave & 45 St,40.754795,-73.917014
6554.05,34 Ave & 48 St,40.75388,-73.914952
6493.03,34 Ave & 71 St,40.75257,-73.89538
6451.07,34 Ave & 74 St,40.75297,-73.89236
6518.13,34 Ave & 83 St,40.75393500483023,-73.88390148299196
6552.07,34 Ave & 89 St,40.75437,-73.87833
6585.11,34 Ave & Junction Blvd,40.75502,-73.87285
6873.01,34 Ave & Vernon Blvd,40.76535380385866,-73.93986314535141
6605.08,34 St & 35 Ave,40.7569332,-73.9262231
6453.02,34 St & 38 Ave,40.752443,-73.929737
3492.04,34 St & 4 Ave,40.655278,-74.003101
6110.01,34 St & 48 Ave,40.740821207823245,-73.93147185444832
3451.01,34 St & 5 Ave,40.654098,-74.001131
